id,modo,fecha,torneo,jornada,equipo,rival,condicion,nivel_dato,F,C,P,S,IE,p_echada,p_fractura,p_gol_fractura,riesgo_compuesto,tipo_modal,ventana_modal,se_echo,minuto_real,tipo_real,se_partio,gol_en_echada,minuto_gol,resultado,banda_acertada,ventana_error,tipo_acertado,compuertas_operadas,ise,p_sobreexposicion,p_gol_sobreexposicion,se_expuso,gol_en_sobreexposicion,esquema_P,IE_recomputado_esquema6,estado_recomputo_esq6,leccion,modo_evaluacion,estado_marcador,IE_recomputado_v015,seleccion,acierto_no_testeado,IE_recomputado_v017,IE_recomputado_motor,clase_caso,gol_del_partido,gol_del_tramo_final,XI_confirmado
TDE-001,RETRO,2026-08-02,Liga 1 Clausura 2026,F3,Deportivo Moquegua,FBC Melgar,L,B,0.70,0.15,0.40,0.30,5.6,55,20,30,3.3,ECHADA-VOL,45-60,si,50,ECHADA-VOL,no,no,,0-0,,,,,,,,,,4ind_o_5ind,,bloqueado,Bloque bajo entrenado sostiene los 90 minutos. IE alto sin fractura. Calibra P(fractura) a la baja cuando C1 es bloque documentado,PRE,,,por_resultado,,,,normal,,,
TDE-002,RETRO,2026-08-01,Liga 1 Clausura 2026,F3,FC Cajamarca,Sport Huancayo,L,B,0.80,0.85,0.70,0.55,7.4,80,55,45,19.8,ECHADA-FIS,45-60,si,13,ECHADA-SUP,si,si,13,0-2,,,,,,,,,,4ind_o_5ind,,bloqueado,Posesion 53 por ciento y ya estaba echado. La posesion en tercio propio no descarta la echada. El tipo real fue SUP no FIS porque ocurrio antes del minuto 45,PRE,,,por_resultado,,,,normal,,,
TDE-003,RETRO,2026-02-21,Liga 1 Apertura 2026,F5,FBC Melgar,FC Cajamarca,V,C,0.60,0.50,0.85,0.35,6.0,58,45,55,14.4,ECHADA-PSI,75-90,si,70,ECHADA-PSI,si,si,77,1-3,,,,,,,,,,4ind_o_5ind,,bloqueado,Caso fundacional del modulo. Favorito con ventaja desde el minuto 42 concede tres goles entre 77 y 90 mas 1. El ejecutor fue Barcos hoy en otro club - la leccion es del mecanismo no del rival,PRE,,,por_resultado,,,,normal,,,
TDE-004,RETRO,2026-07-25,Liga 1 Clausura 2026,F2,FBC Melgar,Sporting Cristal,L,B,0.50,0.30,0.55,0.30,4.7,40,25,50,5.0,ECHADA-VOL,75-90,parcial,70,ECHADA-VOL,no,no,,2-1,,,,,,,,,,4ind_o_5ind,,bloqueado,Contradice el automatismo del favorito. Se echo y no se partio con Tandazo acompañando el descenso de la linea. Refuerza el peso de C2,PRE,,,por_resultado,,,,normal,,,
TDE-005,DECLARADO,2026-08-09,Liga 1 Clausura 2026,F4,FBC Melgar,FC Cajamarca,L,B,0.55,0.35,0.55,0.30,4.6,38,22,45,3.8,ECHADA-VOL,75-90,si,20,ECHADA-PSI,si,si,25,2-4,si,4,no,,,,,,,4ind_o_5ind,,bloqueado,"CERRADO. Falso negativo de manual - el cuadrante 3 que faltaba. Se adelanto 1-0 al minuto 10 de corner y retrocedio en cuanto tuvo la ventaja. Empate al 25 tras penal atajado por Cabezudo y mala salida del propio arquero en la jugada siguiente. Al 55 ya estaba 1-2 y desde ahi dejo de ser echada para ser partido roto (regla 3 de disciplina). El IE 4.6 no vio nada: la ventana declarada 75-90 fallo por 4 ventanas y el tipo declarado VOL era en realidad PSI. El falsador literal no se gatillo porque retrocedio ganando, no perdiendo - el falsador estaba mal redactado",PRE,,,ciega,,,,normal,,,
TDE-006,DECLARADO,2026-08-09,Liga 1 Clausura 2026,F4,FC Cajamarca,FBC Melgar,V,B,0.80,0.85,0.75,0.60,7.6,82,58,55,26.1,ECHADA-FIS,60-75,no,,,no,no,,4-2,no,,no,,,,,,,4ind_o_5ind,,bloqueado,"CERRADO. Falso positivo severo. IE 7.6 con 82 por ciento de echada declarada y el equipo gano 4-2 de visitante en Arequipa despues de ir 0-1 abajo. Nunca retrocedio. Recibir el primer gol como visitante sin nada que perder libero al equipo en lugar de replegarlo: P1 estaba puntuado 1 por la clausula 'equipo que espera recibir el primer gol', que es el error de rubrica mas grave detectado hasta ahora. F3 tambien mal puntuado - el banco de Cajamarca tiene impacto documentado (Barcos triplete desde el banco en febrero, Arrasco decisivo hoy). El falsador SI se gatillo: sostuvo la estructura pasado el 75",PRE,,,ciega,,,,normal,,,
TDE-007,RETRO,2026-08-02,Liga 1 Clausura 2026,F3,Cienciano,Universitario,L,B,0.50,0.67,0.25,0.17,4.2,35,48,45,7.6,ECHADA-FIS,60-75,no,,,no,no,,2-0,si,,,,,,,,,4ind_o_5ind,,bloqueado,"Cubre parcialmente el cuadrante 6 (altura extrema 3400 msnm). Cienciano gano 1-0 al minuto 33 y tenia 57 minutos por administrar en su tercer partido en siete dias, sin bloque bajo entrenado (C1 igual a 1) y con banco corto. No se echo: sostuvo presion alta y marco al 81 de contragolpe. Clave - el rival no podia superar la primera linea de presion (S3 igual a 0), asi que la echada nunca fue forzada. Hipotesis de calibracion: S3 funciona como condicion habilitante y no como un indicador mas",PRE,,,ciega,,,,normal,,,
TDE-008,DECLARADO,2026-08-16,Liga 1 Clausura 2026,F5,Cienciano,Deportivo Garcilaso,L,C,0.75,0.67,0.63,0.50,6.6,62,48,42,12.5,ECHADA-FIS,60-75,,,,,,,,,,,,,,,,,4ind_o_5ind,,bloqueado,"Declarado pre-partido. Clasico cusqueño intercalado entre ida y vuelta de octavos de Sudamericana ante Botafogo. F alto por calendario y plantel corto declarado por el DT, P alto por relevancia asimetrica que invita a administrar. Falsador - si Melgarejo rota 3 o mas titulares y el equipo sostiene la estructura pasado el 75, el bloque F esta sobrevalorado para equipos con localia de altura",PRE,,,ciega,,,,normal,,,
TDE-009,DECLARADO,2026-08-16,Liga 1 Clausura 2026,F5,Universitario,FC Cajamarca,V,C,0.25,0.67,0.75,0.67,5.4,52,48,55,13.7,ECHADA-PSI,45-60,,,,,,,,,,,,,,,,,4ind_o_5ind,,bloqueado,"Declarado pre-partido. Cubre el cuadrante del favorito visitante en altura (2750 msnm) ante recien ascendido. Ventana declarada 45-60 y no 60-75 - es la primera aplicacion de la correccion post TDE-005/006 sobre el sesgo de ventana tardia, activada porque S3 igual a 1 (Cajamarca acaba de meter 4 goles de visita en Arequipa). Falsador - si se echa despues del 75 o no se echa, el adelanto de ventana estaba mal",PRE,,,ciega,,,,normal,,,
TDE-011,RETRO,2026-08-09,Liga AUF Uruguaya Clausura 2026,F1,Cerro,Danubio,V,B,0.38,0.33,0.63,0.50,4.5,35,30,40,4.2,ECHADA-VOL,75-90,no,,,no,no,,bloque sostenido 90 min,si,,,"origen de las compuertas 2 y 3 - recomputo esquema 6: compuerta 1 ACTIVA (P1a igual a 0, visitante no favorito por mu 1.23 vs 1.55) pero sin efecto numerico porque el promedio ya daba 0.50 - compuerta 2 activa (C1 igual a 0, S2 topeado en 0.5) - regla n/a de S3 aplicada",4.4,35,35,no,no,4ind,4.2,hecho,"RETRO. Origen de las compuertas 2 y 3. Bloque bajo estructural sostenido los 90 minutos. Los cambios defensivos estaban dentro de un plan ensayado, asi que S2 no debia puntuar alto con C1 por debajo de 1 (compuerta 2). El ruido institucional del caso no llegaba al vestuario, lo que motivo el desdoble de P4 (compuerta 3). Aporta la firma de BLOQUE SOSTENIDO como proxy negativo: 67 minutos administrando un 1-0 sin conceder un solo remate desde el borde del area. Cubre parcialmente el cuadrante 4 pero en equipo chico. Entra en la lista de la banda 5-7 sobreestimada | RECONCILIACION v0.1.3.1 con la salida de Regresion al Nivel: mu del partido 1.23 contra 1.55, gap 0.10 equilibrio tiende a mejorar, ajustado menos 0.07, forma ultimos 5 de 1.20 pts, 15o con 228 PJ. P1a igual a 0 confirmado por el numero: no es favorito ni tiene ventaja esperada que administrar. Recomputado sobre el esquema de 6 indicadores el bloque P baja de 0.63 a 0.50 y el IE de 4.5 a 4.2, misma banda, el veredicto de acierto se sostiene. La compuerta 1 se activa aqui por primera vez en el registro y no cambia el numero: queda como primer caso de compuerta activa sin efecto",PRE,,,ciega,,,,normal,,,
